cases,tests,active,deaths,country,updated,continent,recovered,population,oneCasePerPeople,oneTestPerPeople,oneDeathPerPeople,casesPerOneMillion,testsPerOneMillion
121420,2170600,386,885,Malta,1753456487562,Europe,120149,444033,4,0,502,273448,4888375
16138,0,0,17,Marshall Islands,1753456487628,Australia-Oceania,16121,60057,4,0,3533,268711,0
230354,828928,229252,1102,Martinique,1753456487547,North America,0,374087,2,0,339,615777,2215870
63848,1009957,380,997,Mauritania,1753456487583,Africa,62471,4901981,77,5,4917,13025,206030
43025,358675,696,1051,Mauritius,1753456487596,Africa,41278,1274727,30,4,1213,33752,281374
42027,176919,41839,188,Mayotte,1753456487597,Africa,0,286259,7,2,1523,146815,618038
7702809,20013810,467986,334958,Mexico,1753456487436,North America,6899865,131562772,17,7,393,58549,152124
26547,82430,26482,65,Micronesia,1753456487610,Australia-Oceania,0,117489,4,1,1808,225953,701598
635145,3216305,622927,12218,Moldova,1753456487519,Europe,0,4013171,6,1,328,158265,801437
17181,78646,17114,67,Monaco,1753456487624,Europe,0,39783,2,1,594,431868,1976875
1011496,4030048,0,2284,Mongolia,1753456487502,Asia,1009212,3378078,3,1,1479,299429,1193000
296542,2769281,1902,2846,Montenegro,1753456487540,Europe,291794,627950,2,0,221,472238,4410034
1403,17762,19,8,Montserrat,1753456487663,North America,1376,4965,4,0,621,282578,3577442
1278992,13001033,1262689,16303,Morocco,1753456487490,Africa,0,37772756,30,3,2317,33860,344191
233731,1371127,2676,2250,Mozambique,1753456487546,Africa,228805,33089461,142,24,14706,7064,41437
641873,11711514,2219,19495,Myanmar,1753456487518,Asia,620159,55227143,86,5,2833,11622,212061
4772813,0,0,74,N. Korea,1753456487454,Asia,4772739,25990679,5,0,351225,183636,0
172389,1062663,1184,4106,Namibia,1753456487554,Africa,167099,2633874,15,2,641,65451,403460
5393,20509,45,1,Nauru,1753456487655,Australia-Oceania,5347,10903,2,1,10903,494635,1881042
1003450,6047766,97,12031,Nepal,1753456487503,Asia,991322,30225582,30,5,2512,33199,200088
8635786,25984435,195,22992,Netherlands,1753456487435,Europe,8612599,17211447,2,1,749,501747,1509718
80064,98964,79750,314,New Caledonia,1753456487573,Australia-Oceania,0,290915,4,3,926,275214,340182
2621111,7768604,1623,5697,New Zealand,1753456487470,Australia-Oceania,2613791,4898203,2,1,860,535117,1586011
18491,0,14041,225,Nicaragua,1753456487621,North America,4225,6779100,367,0,30129,2728,0
9931,254538,729,312,Niger,1753456487639,Africa,8890,26083660,2626,102,83601,381,9759
267188,5708974,4080,3155,Nigeria,1753456487542,Africa,259953,216746934,811,38,68700,1233,26339
1059,0,3,0,Niue,1753456487664,Australia-Oceania,1056,1622,2,0,0,652898,0
1509732,11002430,0,6638,Norway,1753456487482,Europe,1503094,5511370,4,1,830,273930,1996315
399449,25000000,394821,4628,Oman,1753456487532,Asia,0,5323993,13,0,1150,75028,4695724
1581936,30589153,12583,30664,Pakistan,1753456487480,Asia,1538689,229488994,145,8,7484,6893,133292
6290,71434,4,10,Palau,1753456487653,Australia-Oceania,6276,18233,3,0,1823,344979,3917841
621008,3078533,159,5404,Palestine,1753456487521,Asia,615445,5345541,9,2,989,116173,575907
1059893,7882622,64,8727,Panama,1753456487499,North America,1051102,4446964,4,1,510,238341,1772585
46864,249149,26,670,Papua New Guinea,1753456487592,Australia-Oceania,46168,9292169,198,37,13869,5043,26813
837602,2657506,817447,20155,Paraguay,1753456487510,South America,0,7305843,9,3,362,114648,363751
4572667,39010194,0,222161,Peru,1753456487457,South America,4350506,33684208,7,1,152,135751,1158115
4140383,36102746,6138,66864,Philippines,1753456487462,Asia,4067381,112508994,27,3,1683,36800,320888
6661991,39323709,6541393,120598,Poland,1753456487440,Europe,0,37739785,6,1,313,176524,1041970
5643062,46139518,127,28126,Portugal,1753456487444,Europe,5614809,10140570,2,0,361,556484,4549993
514524,4065369,147,690,Qatar,1753456487526,Asia,513687,2979915,6,1,4319,172664,1364257
3529735,28758667,657,68929,Romania,1753456487464,Europe,3460149,19031335,5,1,276,185470,1511122
24124215,273400000,175641,402756,Russia,1753456487426,Europe,23545818,145805947,6,1,362,165454,1875095
